GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Airline Seat Reservation System,com.airline.model,Flight,37,68,0,0,4,13,8,12,8,12
Airline Seat Reservation System,com.airline.model,Seat,16,59,0,0,0,10,4,12,4,12
Airline Seat Reservation System,com.airline.model,Passenger.PassengerBuilder,8,28,0,0,0,1,1,5,1,5
Airline Seat Reservation System,com.airline.model,SeatHold.SeatHoldBuilder,19,57,1,1,0,1,2,8,1,8
Airline Seat Reservation System,com.airline.model,Flight.FlightBuilder,27,58,1,1,0,1,3,8,2,8
Airline Seat Reservation System,com.airline.model,Booking,16,49,0,0,0,9,4,10,4,10
Airline Seat Reservation System,com.airline.model,Seat.SeatBuilder,19,57,1,1,0,1,2,8,1,8
Airline Seat Reservation System,com.airline.model,Booking.BookingBuilder,18,50,1,1,0,1,2,7,1,7
Airline Seat Reservation System,com.airline.model,FareClass,0,15,0,0,0,3,0,1,0,1
Airline Seat Reservation System,com.airline.model,SeatHold,19,56,0,0,1,9,5,11,5,11
Airline Seat Reservation System,com.airline.model,Passenger,15,25,0,0,2,5,4,5,4,5
Airline Seat Reservation System,com.airline.model,BookingStatus,0,15,0,0,0,3,0,1,0,1
Airline Seat Reservation System,com.airline.model,SeatStatus,0,21,0,0,0,4,0,1,0,1
Airline Seat Reservation System,com.airline.controller,BookingController,0,25,0,0,0,4,0,3,0,3
Airline Seat Reservation System,com.airline.controller,SeatController,0,26,0,0,0,5,0,3,0,3
Airline Seat Reservation System,com.airline.controller,FlightController,0,17,0,0,0,3,0,3,0,3
Airline Seat Reservation System,com.airline.dto,BookingRequest,0,30,0,0,0,6,0,7,0,7
Airline Seat Reservation System,com.airline.dto,SeatHoldRequest,0,30,0,0,0,6,0,7,0,7
Airline Seat Reservation System,com.airline.dto,FlightSearchRequest.FlightSearchRequestBuilder,47,0,0,0,1,0,7,0,7,0
Airline Seat Reservation System,com.airline.dto,FlightSearchRequest,50,0,0,0,8,0,11,0,11,0
Airline Seat Reservation System,com.airline.dto,SeatHoldDTO.SeatHoldDTOBuilder,18,56,0,0,0,1,1,9,1,9
Airline Seat Reservation System,com.airline.dto,SeatDTO.SeatDTOBuilder,14,42,0,0,0,1,1,7,1,7
Airline Seat Reservation System,com.airline.dto,BookingDTO.BookingDTOBuilder,18,56,0,0,0,1,1,9,1,9
Airline Seat Reservation System,com.airline.dto,FlightDTO.FlightDTOBuilder,20,63,0,0,0,1,1,10,1,10
Airline Seat Reservation System,com.airline.dto,BookingRequest.BookingRequestBuilder,6,21,0,0,0,1,1,4,1,4
Airline Seat Reservation System,com.airline.dto,SeatDTO,23,37,0,0,2,7,6,7,6,7
Airline Seat Reservation System,com.airline.dto,FlightDTO,35,55,0,0,2,10,9,10,9,10
Airline Seat Reservation System,com.airline.dto,BookingDTO,31,49,0,0,2,9,8,9,8,9
Airline Seat Reservation System,com.airline.dto,SeatHoldRequest.SeatHoldRequestBuilder,6,21,0,0,0,1,1,4,1,4
Airline Seat Reservation System,com.airline.dto,SeatHoldDTO,31,49,0,0,2,9,8,9,8,9
Airline Seat Reservation System,com.airline.config,OpenApiConfig,0,25,0,0,0,9,0,2,0,2
Airline Seat Reservation System,com.airline.config,DataInitializer,0,250,0,8,0,53,0,9,0,5
Airline Seat Reservation System,com.airline,AirlineReservationApplication,5,3,0,0,2,1,1,1,1,1
Airline Seat Reservation System,com.airline.exception,InvalidHoldException,0,4,0,0,0,2,0,1,0,1
Airline Seat Reservation System,com.airline.exception,GlobalExceptionHandler,7,107,0,0,1,22,1,7,1,7
Airline Seat Reservation System,com.airline.exception,SeatNotAvailableException,0,4,0,0,0,2,0,1,0,1
Airline Seat Reservation System,com.airline.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Airline Seat Reservation System,com.airline.service,FlightService,0,101,0,0,0,28,0,6,0,6
Airline Seat Reservation System,com.airline.service,BookingService,0,196,0,4,0,46,0,11,0,9
Airline Seat Reservation System,com.airline.service,SeatLockService,11,246,2,12,1,61,3,15,1,10
